02-31-2016  0.00
02-31-2015  0.00
12-3-251 100kg 0.00
12-3-252 10m2 195.28
12-3-253 10m2 91.67
12-3-254 10m2 78.25
12-3-255 10m2 0.00
12-3-256 100kg 107.90
12-3-257 100kg 51.71
12-3-258 100kg 48.05
12-3-259 100kg 42.47
12-3-260 10m2 161.87
12-3-261 10m2 85.97
12-3-262 10m2 112.53
12-3-263 10m2 0.00
12-3-264 10m2 288.11
12-3-265 10m2 144.48
12-3-266 10m2 205.56
12-3-267 10m2 103.90
12-3-268 10m2 119.82
12-3-269 10m2 42.41
12-3-27012 10m2 136.07
3-27112-3 10m2 197.43
12-3-273 10m2 70.37
112-3-274 10m 65.10
12-3-275112 10m 98.50
3-27612-3 10m 59.05
277112-3-278 10m 57.75
12-3-270 10m 0.00
12-3-280 10m2 71.49
12-3-281 10m2 68.73
12-3-282 10m2 66.65
12-3-283 10m2 65.79
12-3-284 10m2 108.84
12-3-285 10m2 107.26
12-3-286 10m2 99.91
12-3-287 10m2 97.31
12-3-288 100kg 64.36
12-3-289 100kg 54.81
12-3-290 100kg 53.26
12-3-291 100kg 0.00
12-3-292 10m2 79.50
12-3-293 10m2 110.83
12-3-294 10m2 0.00
12-3-295 10m2 0.00
12-3-296 10m2 161.27
12-3-297 10m2 79.50
12-3-298 10m2 110.83
12-3-299 10m2 55.25
12-3-300 10m2 0.00
12-3-301 10m2 0.00
12-3-302 10m2 0.00
12-3-303 10m2 0.00
12-3-304 10m2 2915.02
12-3-306 10m2 0.00
12-3-307 10m2 0.00
12-3-308 10m2 0.00
12-3-309 10m2 0.00
12-3-310 10m2 110.50
12-3-311 10m2 99.38
12-3-312 10m2 94.41
12-3-313 10m2 0.00
12-3-314  70.43
12-3-315  65.67
12-3-316  59.51
12-3-31  58.65
12-3-318 10m2 100.71
12-3-319 10m2 97.34
12-3-320 10m2 90.16
12-3-321 10m2 0.00
12-3-322 100kg 56.42
12-3-323 100kg 53.21
12-3-324 100kg 55.12
12-3-325 100kg 53.92
12-3-326 100kg 32.01
12-3-327 100kg 31.41
12-3-328 100kg 31.46
12-3-329 100kg 31.24
12-3-330 10m 66.78
12-3-331 10m 58.76
12-3-332 10m 58.46
12-3-333 10m 77.22
12-3-334 10m 73.79
12-3-335 10m 0.00
12-3-336 10m2 68.22
12-3-337 10m2 80.87
12-3-338 10m2 115.38
12-3-339 10m2 0.00
12-3-340 10m2 0.00
12-3-341 10m2 49.33
12-3-342 10m2 147.37
12-3-343 10m2 294.73
12-3-344 10m2 41.54
12-3-345 10m2 41.54
12-3-346 10m2 112.06
12-3-347 10m2 54.31
12-3-348 10m2 54.31
12-3-349 10m2 79.92
12-3-350 10m2 112.39
12-3-351 10m2 42.07
12-3-352 10m2 380.76
12-3-353 10m2 341.31
12-3-354 10m2 170.07
12-3-355 10m2 329.94
12-3-356 10m2 157.78
12-3-357 10m2 148.90
12-3-358 10m2 82.16
12-3-359 10m2 140.48
12-3-360 10m2 71.98
12-3-361 10m2 82.16
12-3-362 10m2 143.19
12-3-363 10m2 66.25
12-3-364 10m2 121.13
12-3-365 10m2 106.84
12-3-366 10m2 104.68
12-3-367 10m2 175.05
12-3-368 10m2 147.06
12-3-369 10m2 142.30
12-3-370 10m 64.78
12-3-371 10m 62.25
12-3-372 10m 62.25
12-3-373 10m 0.00
12-3-374 10m2 90.41
12-3-375 10m2 80.46
12-3-376 10m2 80.46
12-3-377 10m2 80.46
12-3-378 100kg 0.00
12-3-379 100kg 0.00
12-3-380 100kg 0.00
12-3-381 100kg 0.00
12-3-382 10m2 69.05
12-3-383 10m2 66.55
12-3-384 10m2 60.75
12-3-385 10m2 60.75
12-3-386 100kg 41.45
12-3-387 100kg 39.29
12-3-38 100kg 34.14
12-3-389 100kg 34.14
12-3-390 10m2 162.38
12-3-391 10m2 85.90
12-3-392 10m2 112.75
12-3-393 10m2 57.30
12-3-394 10m2 1929.52
12-3-395 10m2 1170.85
12-3-396 10m2 464.47
12-3-397 10m2 371.94
12-3-398 10m2 335.35
12-3-399 10m2 197.87
12-4-2 m2 1098.29
12-4-3 m2 618.12
12-4-4 m2 475.59
12-4-5 m3 589.96
12-4-6 m3 441.28
12-4-7 m3 363.81
12-4-10 m2 532.86
12-4-11 m2 415.17
12-4-13 m3 490.13
12-4-14 m3 383.21
12-4-16 m3 304.07
12-4-17 m 453.21
12-4-18 m 357.93
12-4-19 m 286.85
12-4-20 m 231.24
12-4-21 m3 686.57
12-4-22 m3 532.39
12-4-24 m3 439.23
12-4-25 m 0.00
12-4-26 m 0.00
12-4-27 m 0.00
12-4-28 m 0.00
12-4-29 m3 1017.56
12-4-30 m3 777.64
12-4-31 m3 632.30
12-4-32 m3 530.53
12-4-33 m 1647.30
12-4-34 m 1212.31
12-4-35 m 0.00
12-4-36 m 0.00
12-4-37 m3 1111.83
12-4-38 m3 819.57
12-4-39 m3 442.46
12-4-40 m3 0.00
12-4-42 m2 985.22
12-4-43 m2 731.62
12-4-45 m3 896.33
12-4-46 m3 666.40
12-4-47 m3 525.03
12-4-48 m3 0.00
12-4-19 m2 636.76
12-4-50 m2 483.47
12-4-51 m2 366.46
12-4-52 m2 290.72
12-4-53 m3 0.00
12-4-54 m3 0.00
12-4-56 m3 0.00
12-4-57 m3 1620.25
12-4-58 m3 1323.98
12-4-59 m3 1126.56
12-4-60 m3 1020.46
12-4-61 m3 1997.92
12-4-62 m3 1623.33
12-4-63 m3 1428.30
12-4-65 m 846.28
12-4-66 m 607.90
12-4-67 m 455.29
12-4-68 m 339.41
12-4-69 m3 430.93
12-4-70 m3 328.24
12-4-71 m3 251.26
12-4-72 m3 193.40
12-4-73 m3 386.18
12-4-74 m3 297.36
12-4-75 m3 229.56
12-4-76 m3 0.00
12-4-77 m3 354.51
12-4-78 m3 273.76
12-4-79 m3 213.37
12-4-80 m3 168.44
12-4-81 m 0.00
12-4-82 m 0.00
12-4-83 m 0.00
12-4-84 m 0.00
12-4-85 m3 807.08
12-4-86 m3 537.65
12-4-87 m3 422.15
12-4-88 m3 352.09
12-4-8 m3 0.00
12-4-90 m 987.20
12-4-92 m 650.24
12-4-95 m3 830.98
12-4-96 m3 651.09
12-4-97 m3 542.00
12-4-98 m3 468.76
12-4-99 m 416.05
12-4-100 m 332.92
12-4-101 m 312.10
12-4-102 m 242.49
12-4-103 m 180.41
12-4-104 m3 0.00
12-4-105 m3 0.00
12-4-107 m3 0.00
12-4-108 m2 844.93
12-4-109 m2 626.02
12-4-110 m2 465.18
12-4-112 m3 750.81
12-4-114 m3 559.67
12-4-115 m3 418.18
12-4-116 m 683.63
12-4-117 m 511.30
12-4-118 m 405.35
12-4-119 m 284.03
12-4-120 m3 479.87
12-4-121 m3 364.10
12-4-122 m3 277.23
12-4-123 m3 219.68
12-4-124 m: 1154.65
12-4-125 m: 978.25
12-4-126 m: 860.44
12-4-127 m: 796.99
12-4-128 m3 1330.66
12-4-129 m3 1108.13
12-4-130 m3 880.32
12-4-131 m3 0.00
12-4-132 m2 1628.99
12-4-133 m2 1347.35
12-4-134 m2 1202.00
12-4-135 m2 1055.41
12-4-136 m3 993.54
12-4-137 m3 868.23
12-4-138 m3 837.42
12-4-140 m3 732.56
12-4-141 m' 859.66
12-4-142 m' 623.89
12-4-143 m' 476.99
12-4-144 m' 0.00
12-4-145 m3 447.48
12-4-146 m3 350.46
12-4-147 m3 267.09
12-4-148 m3 211.63
12-4-14 m 398.56
12-4-150 m 310.46
12-4-151 m 242.66
12-4-152 m 193.75
12-4-153 m3 371.79
12-4-154 m3 290.82
12-4-155 m3 229.62
12-4-156 m3 184.84
12-4-157 m 343.23
12-4-158 m 271.35
12-4-159 m 217.57
12-4-161 m3 368.29
12-4-162 m3 294.81
12-4-164 m3 244.22
12-4-165 m? 387.97
12-4-166 m? 308.60
12-4-167 m? 255.70
12-4-168 m? 214.86
12-4-169 m3 454.92
12-4-170 m3 369.36
12-4-171 m3 309.79
12-4-172 m3 265.66
12-4-173 m 581.81
